Time,Source,Target,TE
0,Agent1_Block1,Agent2_Block1,-1.0572098751993053e-13
0,Agent1_Block1,Agent2_Block2,1.6719958750854857e-13
0,Agent1_Block1,Agent2_Block3,7.144285163462882e-14
0,Agent1_Block2,Agent2_Block1,6.222800053024002e-14
0,Agent1_Block2,Agent2_Block2,-1.4244161405940758e-13
0,Agent1_Block2,Agent2_Block3,-4.5352610555937645e-14
0,Agent1_Block3,Agent2_Block1,8.054668043655511e-14
0,Agent1_Block3,Agent2_Block2,1.1213252548714081e-14
0,Agent1_Block3,Agent2_Block3,-5.140332604014475e-14
1,Agent1_Block1,Agent2_Block1,-5.084821452783217e-14
1,Agent1_Block1,Agent2_Block2,-1.9595436384634013e-14
1,Agent1_Block1,Agent2_Block3,1.0408340855860843e-14
1,Agent1_Block2,Agent2_Block1,-5.00155472593633e-14
1,Agent1_Block2,Agent2_Block2,-3.2529534621517087e-14
1,Agent1_Block2,Agent2_Block3,1.284528039491306e-13
1,Agent1_Block3,Agent2_Block1,6.716849298982197e-15
1,Agent1_Block3,Agent2_Block2,-1.509903313490213e-14
1,Agent1_Block3,Agent2_Block3,-5.312417172831374e-14
2,Agent1_Block1,Agent2_Block1,5.520583989948591e-14
2,Agent1_Block1,Agent2_Block2,-1.2223555501122974e-13
2,Agent1_Block1,Agent2_Block3,-5.623279619726418e-14
2,Agent1_Block2,Agent2_Block1,-7.868705687030797e-14
2,Agent1_Block2,Agent2_Block2,2.8255175976710234e-14
2,Agent1_Block2,Agent2_Block3,-1.970645868709653e-14
2,Agent1_Block3,Agent2_Block1,-3.4916514124461173e-14
2,Agent1_Block3,Agent2_Block2,-9.769962616701378e-15
2,Agent1_Block3,Agent2_Block3,-1.2448722608304763e-13
