Subject
Subject
Subject
Subject
Subject
Subject: Sherlock Holmes,Action: emphasizing observation and deduction,Object: importance of observation,Environment: conversation with Watson
Subject: Sherlock Holmes,Action: presenting a mysterious note,Object: to Watson,Environment: their shared living space
Subject: Sherlock Holmes,Action: preparing for a consultation,Object: with a masked visitor,Environment: anticipation of the mysterious meeting
Subject: Sherlock Holmes,Action: acknowledging the mystery,Object: surrounding the note,Environment: conversation with Watson
Holmes,Examined,Writing and Paper
Narrator,Commented,Wealth of Writer
Holmes,Identified,Non-English Paper
Holmes,Explained,Paper Markings
Holmes,Referenced,Continental Gazetteer
Holmes,Analyzing,Paper and Writer,Bohemian setting
Holmes,Emphasizing,Uncovering intentions,Mystery setting
Holmes,Anticipating,Arrival of significant individual,Exterior setting
Holmes,Observing,Brougham and horses,Exterior setting
Holmes,Insisting,Remaining,Interior setting
Subject: Man,Action: Enters,Object: Room,Environment: Holmes' residence
Subject: Holmes,Action: Acknowledges/Invites,Object: Man,Environment: Holmes' residence
Subject: Man,Action: Questions,Object: Holmes,Environment: Holmes' residence
Subject: Holmes,Action: Introduces,Object: Dr.,Environment: Holmes' residence
Subject: Count Von Kramm,Action: seeks help,Object: Holmes and Watson,Environment: Holmes' residence
Subject: Count Von Kramm,Action: requests secrecy,Object: sensitive matter,Environment: confidential meeting
Subject: The King of Bohemia,Action: reveals identity,Object: compromising letters,Environment: confidential discussion
Subject: Holmes,Action: demonstrates awareness,Object: situation and parties,Environment: analytical setting
Subject: The King of Bohemia,Action: explains delicacy,Object: need for discretion,Environment: confidential consultation
Subject: Holmes,Action: gathers information,Object: Irene Adler,Environment: analytical setting
Subject: The King of Bohemia,Action: describes lack of proof,Object: compromising letters,Environment: investigative discussion
Subject: Holmes and The King of Bohemia,Action: discuss implications,Object: compromising letters,Environment: strategic planning
Subject: The King of Bohemia,Action: seeks assistance,Object: delicate matter,Environment: urgent resolution
Subject: The King,Action: Expressing concern,Object: His compromised position,Environment: A private conversation
Subject: The King,Action: Recalling past actions,Object: His youth,Environment: A reflective moment
Subject: The King,Action: Emphasizing importance,Object: Recovering the photograph,Environment: A tense discussion
Subject: The King,Action: Showing determination,Object: Retrieving the photograph,Environment: Frustrated efforts
Subject: The King,Action: Considering theft,Object: The photograph,Environment: Desperation
Subject: The King,Action: Attempting retrieval,Object: The photograph,Environment: Persistent efforts
Subject: The King,Action: Expressing concern,Object: His marriage,Environment: An impending threat
Subject: The King,Action: Fearing consequences,Object: His marriage,Environment: An uncertain future
King,informs,Holmes,Baker Street
King,gives,money,Baker Street
Holmes,records,Mademoiselle's address,Baker Street
Holmes,clarifies,photograph type,Baker Street
Holmes,schedules,meeting,Baker Street
Watson,waits,Baker Street
Holmes,disguises,returns,Baker Street
Holmes,changes,appearance,Baker Street
Holmes,recounts,morning events,Baker Street
Subject: Female Character,Action: Living quietly,Object: Daily routine,Environment: Serpentine-mews
Subject: Female Character,Action: Having a male visitor,Object: Mr. Godfrey Norton,Environment: Serpentine-mews
Subject: Narrator,Action: Listening and analyzing,Object: Information about Mr. Godfrey Norton,Environment: Serpentine-mews
Subject: Narrator,Action: Balancing options,Object: Decision-making,Environment: Briony Lodge
Subject: Male Character,Action: Arriving in a hurry,Object: Visit to Briony Lodge,Environment: Briony Lodge
Subject: Male Character,Action: Engaging in animated conversation,Object: Unspecified discussion,Environment: Sitting-room
Subject: Male Character,Action: Rushing out,Object: Unspecified urgency,Environment: Briony Lodge
Subject: Male Character,Action: Setting a time limit,Object: Cab driver,Environment: Briony Lodge
Subject: Female Character,Action: Exiting quickly,Object: Landau carriage,Environment: Briony Lodge
Sherlock Holmes
Sherlock Holmes
Sherlock Holmes
Sherlock Holmes
Sherlock Holmes
Sherlock Holmes
Sherlock Holmes
Sherlock Holmes
Sherlock Holmes
Holmes,instructs,Watson,at Briony Lodge
Watson,agrees,follow instructions,at Briony Lodge
Holmes,changes appearance,Nonconformist clergyman,at Briony Lodge
Holmes and Watson,arrive,Serpentine Avenue,observe surroundings
Holmes,discusses photograph,strategizes,at Serpentine Avenue
Holmes,analyzes photograph location,considers alternatives
Subject: Women,Action: secreting,Object: information,Environment: general societal perception
Subject: She,Action: trust,Object: guardianship,Environment: personal decision-making
Subject: She,Action: use,Object: information,Environment: upcoming plans
Holmes,instructs,companion,at Briony Lodge
Holmes,dismisses,concerns,at Briony Lodge
Holmes,reveals,strategy,at Briony Lodge
Various individuals,engage in altercation,at Briony Lodge
Holmes,intervenes,to protect,at Briony Lodge
Irene Adler,shows concern,for Holmes,at Briony Lodge
Narrator,resolves,to continue,at Briony Lodge
Narrator,retrieves,smoke-rocket,at Briony Lodge
Holmes,create diversion,false alarm of fire,sitting-room
Holmes,use red paint trick,gain entry,sitting-room
Holmes,exploit instinct,locate photograph,sitting-room
Holmes,observe reaction,confirm photograph location,sitting-room
