Holmes,instructed,me
I,remarked,the man who wrote it
Holmes,pointed out,peculiar
I,saw,"large ""E"" with small ""g"""
Holmes,explained,"""G"" with small ""t"""
Holmes,consulted,Continental Gazetteer
Holmes,found,Egria
Holmes,Analyzing note's origin,Bohemia,Carlsbad
Holmes,Inferring writer's nationality,German language traits
Holmes,Speculating on writer's intentions,Mask,Bohemian paper
Environment,Sound of approaching horses and brougham
Holmes,Observing brougham and horses,Wealth,Importance
Holmes,Anticipating financial gain,Brougham,Horses
Holmes,Insisting on Watson's presence,Importance of Watson
Environment,Setting the stage for visitor interaction
Subject: The man,Action: Entered,Object: the room,Environment: Holmes' residence
Subject: The man,Action: Wore,Object: black vizard mask,Environment: Holmes' residence
Subject: The man,Action: Inquired,Object: about the note,Environment: Holmes' residence
Subject: Holmes,Action: Introduced,Object: Dr.,Environment: Holmes' residence
Subject: The man,Action: Looked,Object: around,Environment: Holmes' residence
Subject: Holmes,Action: Invited,Object: the man,Environment: Holmes' residence
Subject: Count Von Kramm,Action: Addressing,Object: Holmes,Environment: Consulting room
Subject: Holmes,Action: Catching,Object: Watson,Environment: Consulting room
Subject: Count Von Kramm,Action: Revealing,Object: Identity,Environment: Consulting room
Subject: Count Von Kramm,Action: Describing,Object: Situation,Environment: Consulting room
Subject: Holmes,Action: Advising,Object: Count Von Kramm,Environment: Consulting room
Subject: King of Bohemia,Action: Tearing,Object: Mask,Environment: Consulting room
Subject: Holmes,Action: Consulting,Object: King of Bohemia,Environment: Consulting room
Subject: Holmes,Action: Researching,Object: Irene Adler,Environment: Consulting room
Subject: Holmes,Action: Reviewing,Object: Information,Environment: Consulting room
Subject: Holmes,Action: Analyzing,Object: King of Bohemia's case,Environment: Consulting room
King,express concern,indiscretion,private conversation
King,reflect,past behavior,private conversation
King,informed,compromising situation,private conversation
King,justify,past actions,private conversation
King,stress urgency,photograph,private conversation
King,discuss,failed attempts,private conversation
King,consider,acquisition methods,private conversation
King,acknowledge,owner's refusal,private conversation
King,suggest,theft,private conversation
King,recount,failed attempts,private conversation
Holmes,find amusing,problem complexity,private conversation
King,emphasize seriousness,seek help,private conversation
King,discuss,consequences,private conversation
King,disclose,Adler's plan,private conversation
King,mention,impending marriage,private conversation
King,emphasize,family principles,private conversation
King,stress threat,Adler's actions,private conversation
Subject: Holmes,Action: Scribbled,Object: receipt,Environment: King's presence
Subject: Holmes,Action: Took,Object: note,Environment: King's response
Subject: Holmes,Action: Inquired,Object: photograph,Environment: King's statement
Subject: Holmes,Action: Promised,Object: update,Environment: King's departure
Subject: Holmes,Action: Requested,Object: meeting,Environment: Watson's presence
Subject: Watson,Action: Waited,Object: Holmes,Environment: Baker Street
Subject: Holmes,Action: Disguised,Object: himself,Environment: Bedroom
Subject: Holmes,Action: Laughed,Object: heartily,Environment: Sitting by the fire
Subject: Narrator,Action: Listened,Object: Information from cabmen,Environment: Near Briony Lodge
